,@FREQ,@REF_AREA,@INDICATOR,@COUNTERPART_AREA,@UNIT_MULT,@TIME_FORMAT,Obs_0_@TIME_PERIOD,Obs_0_@OBS_VALUE,Obs_1_@TIME_PERIOD,Obs_1_@OBS_VALUE,Obs_2_@TIME_PERIOD,Obs_2_@OBS_VALUE,Obs_3_@TIME_PERIOD,Obs_3_@OBS_VALUE,Obs_4_@TIME_PERIOD,Obs_4_@OBS_VALUE,Obs_5_@TIME_PERIOD,Obs_5_@OBS_VALUE,Obs_6_@TIME_PERIOD,Obs_6_@OBS_VALUE,Obs_7_@TIME_PERIOD,Obs_7_@OBS_VALUE,Obs_8_@TIME_PERIOD,Obs_8_@OBS_VALUE,Obs_9_@TIME_PERIOD,Obs_9_@OBS_VALUE,Obs_10_@TIME_PERIOD,Obs_10_@OBS_VALUE
0,M,R14,TXG_FOB_USD,W00,6,P1M,2022-01,84924.351794,2022-02,83269.108742,2022-03,84500.293157,2022-04,94435.231897,2022-05,83345.106984,2022-06,91396.683134,2022-07,87287.444049,2022-08,98651.717572,2022-09,104527.871616,2022-10,99999.700078,2022-11,95571.845332
1,M,BI,TXG_FOB_USD,W00,6,P1M,2022-01,27.425417,2022-02,17.895871,2022-03,16.809402,2022-04,23.401022,2022-05,11.944894,2022-06,13.430415,2022-07,4.017569,2022-08,6.80879,2022-09,10.679294,2022-10,19.153445,2022-11,13.223798
2,M,UZ,TXG_FOB_USD,W00,6,P1M,2022-01,1222.963403,2022-02,2524.98323,2022-03,1458.083082,2022-04,1042.076897,2022-05,1001.11206,2022-06,805.239386,2022-07,725.532001,2022-08,704.925802,2022-09,816.70434,2022-10,476.938909,2022-11,584.186488
3,M,ZW,TXG_FOB_USD,W00,6,P1M,2022-01,493.729805,2022-02,465.040873,2022-03,456.747977,2022-04,461.963752,2022-05,468.305948,2022-06,450.038145,2022-07,469.218774,2022-08,502.049478,2022-09,501.527187,2022-10,535.441235,2022-11,530.111466
4,M,IE,TXG_FOB_USD,W00,6,P1M,2022-01,17774.50056,2022-02,17440.656025,2022-03,21755.465471,2022-04,18047.5649,2022-05,18497.268486,2022-06,17980.383374,2022-07,14719.56349,2022-08,19294.573505,2022-09,19030.345545,2022-10,16928.220655,2022-11,14330.485921
5,M,GY,TXG_FOB_USD,W00,6,P1M,2022-01,196.859848,2022-02,171.382163,2022-03,150.808036,2022-04,153.141178,2022-05,159.33398,2022-06,286.282894,2022-07,144.705104,2022-08,238.202298,2022-09,153.833317,2022-10,140.711236,2022-11,167.82858
6,M,MN,TXG_FOB_USD,W00,6,P1M,2022-01,541.983994,2022-02,631.378384,2022-03,738.627819,2022-04,841.496216,2022-05,1201.5517,2022-06,1146.237904,2022-07,1083.849499,2022-08,1201.828441,2022-09,945.529548,2022-10,1310.995907,2022-11,1476.886564
7,M,BB,TXG_FOB_USD,W00,6,P1M,2022-01,40.62434,2022-02,40.050194,2022-03,60.223358,2022-04,43.048901,2022-05,36.948451,2022-06,32.394818,2022-07,36.064602,2022-08,48.280913,2022-09,58.449455,2022-10,54.801094,2022-11,63.967184
8,M,B0,TXG_FOB_USD,W00,6,P1M,2022-01,552322.181427,2022-02,581895.83512,2022-03,658533.14517,2022-04,578395.591103,2022-05,621140.844015,2022-06,627774.153602,2022-07,565743.110848,2022-08,548777.051429,2022-09,615197.201401,2022-10,583977.267724,2022-11,574746.484653
9,M,RU,TXG_FOB_USD,W00,6,P1M,2022-01,63428.435851,2022-02,61383.027494,2022-03,67179.965135,2022-04,75019.764244,2022-05,62847.171301,2022-06,70444.645785,2022-07,66613.554389,2022-08,77662.794673,2022-09,79717.0771,2022-10,72640.348914,2022-11,71520.436792
10,M,XR43,TXG_FOB_USD,W00,6,P1M,2022-01,876613.355101,2022-02,787636.743864,2022-03,953423.387186,2022-04,930190.160644,2022-05,950134.304527,2022-06,1010908.011575,2022-07,968640.75309,2022-08,974598.831739,2022-09,979307.224056,2022-10,922874.404706,2022-11,912649.13521
11,M,NL,TXG_FOB_USD,W00,6,P1M,2022-01,73127.092036,2022-02,72225.072152,2022-03,85221.824119,2022-04,77232.962158,2022-05,82418.532886,2022-06,85841.613725,2022-07,76698.537986,2022-08,78577.656985,2022-09,85224.471239,2022-10,82791.92027,2022-11,84231.828679
12,M,MY,TXG_FOB_USD,W00,6,P1M,2022-01,26515.164269,2022-02,24420.455977,2022-03,31319.342024,2022-04,29903.014877,2022-05,27481.866458,2022-06,33176.775894,2022-07,30191.957202,2022-08,31633.564871,2022-09,31742.019962,2022-10,28026.412713,2022-11,28048.620509
13,M,1C_092,TXG_FOB_USD,W00,6,P1M,2022-01,688057.786964,2022-02,599019.467551,2022-03,722177.536751,2022-04,693977.526056,2022-05,722257.864558,2022-06,775740.04685,2022-07,737219.189008,2022-08,736587.195129,2022-09,743817.642439,2022-10,696711.462908,2022-11,693336.626623
14,M,LU,TXG_FOB_USD,W00,6,P1M,2022-01,1360.270025,2022-02,1477.195428,2022-03,1704.398576,2022-04,1473.129756,2022-05,1524.169499,2022-06,1603.12598,2022-07,1358.557247,2022-08,1336.015482,2022-09,1403.62488,2022-10,1370.459562,2022-11,1209.518181
15,M,LV,TXG_FOB_USD,W00,6,P1M,2022-01,1779.78887,2022-02,1821.482933,2022-03,2192.622868,2022-04,1851.568321,2022-05,1940.701812,2022-06,1941.245323,2022-07,1759.517131,2022-08,2078.119055,2022-09,2265.145751,2022-10,1936.463311,2022-11,1891.420318
16,M,1C_080,TXG_FOB_USD,W00,6,P1M,2022-01,188555.568137,2022-02,188617.276313,2022-03,231245.850435,2022-04,236212.634588,2022-05,227876.439969,2022-06,235167.964725,2022-07,231421.564082,2022-08,238011.63661,2022-09,235489.581617,2022-10,226162.941798,2022-11,219312.508587
17,M,SO,TXG_FOB_USD,W00,6,P1M,2022-01,47.671454,2022-02,44.357936,2022-03,51.743143,2022-04,52.455361,2022-05,54.093993,2022-06,145.041928,2022-07,71.278358,2022-08,43.869732,2022-09,45.775661,2022-10,43.636062,2022-11,39.36138
18,M,MD,TXG_FOB_USD,W00,6,P1M,2022-01,330.357236,2022-02,336.464327,2022-03,395.826597,2022-04,396.340158,2022-05,416.034561,2022-06,416.431915,2022-07,338.22251,2022-08,329.414482,2022-09,318.527652,2022-10,266.58499,2022-11,301.630088
19,M,DK,TXG_FOB_USD,W00,6,P1M,2022-01,10346.383428,2022-02,10583.792075,2022-03,12841.346597,2022-04,10125.14244,2022-05,10977.178436,2022-06,11120.138747,2022-07,10306.714629,2022-08,10354.939156,2022-09,11291.814412,2022-10,10602.581965,2022-11,10734.39817
20,M,CL,TXG_FOB_USD,W00,6,P1M,2022-01,8562.174464,2022-02,7301.397759,2022-03,8672.600934,2022-04,8026.584486,2022-05,8897.702434,2022-06,8330.295707,2022-07,7946.688801,2022-08,7877.598757,2022-09,7569.077534,2022-10,7597.805356,2022-11,7812.810264
21,M,FR,TXG_FOB_USD,W00,6,P1M,2022-01,50670.268781,2022-02,50594.881785,2022-03,56309.207704,2022-04,49835.43002,2022-05,51580.78688,2022-06,54873.791679,2022-07,47694.013785,2022-08,44324.212668,2022-09,52814.42722,2022-10,50943.529448,2022-11,45190.468252
22,M,LC,TXG_FOB_USD,W00,6,P1M,2022-01,6.432208,2022-02,5.605887,2022-03,5.937995,2022-04,5.944005,2022-05,6.684077,2022-06,5.340154,2022-07,6.039172,2022-08,5.714023,2022-09,6.244344,2022-10,4.806478,2022-11,9.839439
23,M,X88,TXG_FOB_USD,W00,6,P1M,2022-01,172.223771,2022-02,106.484228,2022-03,147.486844,2022-04,157.664945,2022-05,156.22843,2022-06,174.938065,2022-07,129.186053,2022-08,159.646855,2022-09,155.299231,2022-10,177.815981,2022-11,131.362012
24,M,KP,TXG_FOB_USD,W00,6,P1M,2022-01,25.620144,2022-02,11.004408,2022-03,14.365062,2022-04,14.490177,2022-05,18.643705,2022-06,15.699251,2022-07,23.691426,2022-08,29.704084,2022-09,25.463298,2022-10,31.263719,2022-11,23.290507
25,M,TJ,TXG_FOB_USD,W00,6,P1M,2022-01,100.193481,2022-02,114.767265,2022-03,83.967329,2022-04,106.652368,2022-05,255.817563,2022-06,497.844358,2022-07,56.414083,2022-08,46.65045,2022-09,77.875752,2022-10,83.026703,2022-11,48.361103
26,M,NZ,TXG_FOB_USD,W00,6,P1M,2022-01,3238.546446,2022-02,3461.284949,2022-03,4577.136634,2022-04,4179.06018,2022-05,4358.408148,2022-06,3954.892892,2022-07,3929.659047,2022-08,3309.379179,2022-09,3518.019986,2022-10,3489.675027,2022-11,4037.991088
27,M,CF,TXG_FOB_USD,W00,6,P1M,2022-01,2.092358,2022-02,3.389356,2022-03,3.659519,2022-04,2.226299,2022-05,2.930816,2022-06,3.005552,2022-07,3.079188,2022-08,3.373674,2022-09,9.815818,2022-10,3.378306,2022-11,6.323126
28,M,GN,TXG_FOB_USD,W00,6,P1M,2022-01,2281.522604,2022-02,2736.528018,2022-03,679.235505,2022-04,1524.204381,2022-05,2286.868208,2022-06,2375.359101,2022-07,1435.421078,2022-08,1174.353458,2022-09,1073.595145,2022-10,1228.890847,2022-11,770.592388
29,M,NG,TXG_FOB_USD,W00,6,P1M,2022-01,4895.439144,2022-02,5166.842421,2022-03,7392.234289,2022-04,5535.349962,2022-05,6746.6135,2022-06,6258.065827,2022-07,4785.131931,2022-08,5346.463235,2022-09,4445.953965,2022-10,4951.042729,2022-11,2837.227338
30,M,BM,TXG_FOB_USD,W00,6,P1M,2022-01,3.012541,2022-02,4.233639,2022-03,4.825182,2022-04,4.120616,2022-05,4.532947,2022-06,6.915887,2022-07,5.778897,2022-08,4.957229,2022-09,4.503503,2022-10,5.146679,2022-11,4.728076
31,M,KZ,TXG_FOB_USD,W00,6,P1M,2022-01,5869.405988,2022-02,5839.576373,2022-03,6671.009329,2022-04,7083.238332,2022-05,7345.543976,2022-06,7647.700286,2022-07,6398.009831,2022-08,7047.705501,2022-09,7112.885603,2022-10,11612.313532,2022-11,10800.905293
32,M,VC,TXG_FOB_USD,W00,6,P1M,2022-01,1.209394,2022-02,1.970514,2022-03,42.179371,2022-04,3.693765,2022-05,6.367663,2022-06,1.100287,2022-07,2.925011,2022-08,2.11703,2022-09,3.020231,2022-10,1.505965,2022-11,0.40979
33,M,AF,TXG_FOB_USD,W00,6,P1M,2022-01,50.416681,2022-02,46.511878,2022-03,59.959564,2022-04,72.651764,2022-05,31.820478,2022-06,45.94608,2022-07,30.256691,2022-08,45.361302,2022-09,69.524809,2022-10,64.864749,2022-11,65.636075
34,M,DO,TXG_FOB_USD,W00,6,P1M,2022-01,872.998833,2022-02,987.898163,2022-03,1307.302666,2022-04,1088.196062,2022-05,1194.776229,2022-06,1123.035114,2022-07,1140.276861,2022-08,1279.215645,2022-09,1118.931324,2022-10,1095.546306,2022-11,1132.911163
35,M,ST,TXG_FOB_USD,W00,6,P1M,2022-01,2.827404,2022-02,1.007583,2022-03,1.07154,2022-04,0.473746,2022-05,2.338762,2022-06,2.253549,2022-07,2.754011,2022-08,2.282126,2022-09,0.827226,2022-10,1.187726,2022-11,2.441128
36,M,TD,TXG_FOB_USD,W00,6,P1M,2022-01,234.855977,2022-02,181.192828,2022-03,282.032865,2022-04,205.034018,2022-05,442.314823,2022-06,356.095712,2022-07,556.583383,2022-08,530.671438,2022-09,463.743685,2022-10,274.335181,2022-11,184.126131
37,M,SK,TXG_FOB_USD,W00,6,P1M,2022-01,8698.223238,2022-02,9286.869178,2022-03,9922.684366,2022-04,8468.589028,2022-05,9696.232928,2022-06,9361.303478,2022-07,7845.402188,2022-08,8397.08857,2022-09,9005.733934,2022-10,9362.274032,2022-11,8344.404914
38,M,PG,TXG_FOB_USD,W00,6,P1M,2022-01,696.682599,2022-02,606.575666,2022-03,774.445707,2022-04,657.276011,2022-05,909.461031,2022-06,679.143529,2022-07,819.562729,2022-08,793.107734,2022-09,856.213756,2022-10,1197.383386,2022-11,988.848247
39,M,CU,TXG_FOB_USD,W00,6,P1M,2022-01,146.603627,2022-02,95.47982,2022-03,133.121782,2022-04,143.174768,2022-05,137.584725,2022-06,159.238814,2022-07,105.494627,2022-08,129.942771,2022-09,129.835933,2022-10,146.552262,2022-11,108.071505
40,M,BS,TXG_FOB_USD,W00,6,P1M,2022-01,59.679239,2022-02,39.295121,2022-03,138.842143,2022-04,169.649785,2022-05,152.450483,2022-06,203.201881,2022-07,66.01198,2022-08,325.079903,2022-09,168.9122,2022-10,31.916401,2022-11,211.05208
41,M,TH,TXG_FOB_USD,W00,6,P1M,2022-01,21284.304516,2022-02,23553.613627,2022-03,27698.91805,2022-04,23076.438704,2022-05,24791.250587,2022-06,25205.68627,2022-07,22791.70058,2022-08,23972.285453,2022-09,23962.182074,2022-10,21099.255433,2022-11,23182.191836
42,M,GM,TXG_FOB_USD,W00,6,P1M,2022-01,3.55215,2022-02,2.395019,2022-03,3.801124,2022-04,3.083752,2022-05,3.611751,2022-06,2.74716,2022-07,6.10142,2022-08,5.947024,2022-09,7.236673,2022-10,3.64949,2022-11,4.538539
43,M,AE,TXG_FOB_USD,W00,6,P1M,2022-01,34986.090161,2022-02,36984.880174,2022-03,50877.855419,2022-04,49186.291541,2022-05,48681.654396,2022-06,50388.861371,2022-07,53539.995019,2022-08,50786.58742,2022-09,50423.311404,2022-10,45799.209617,2022-11,51028.801012
44,M,QA,TXG_FOB_USD,W00,6,P1M,2022-01,9764.389775,2022-02,8756.79017,2022-03,10085.824578,2022-04,11937.099503,2022-05,9808.101496,2022-06,9912.623252,2022-07,10755.493762,2022-08,10740.104048,2022-09,11014.748753,2022-10,11584.667466,2022-11,9879.122988
45,M,PA,TXG_FOB_USD,W00,6,P1M,2022-01,200.697591,2022-02,266.849262,2022-03,418.946038,2022-04,275.544253,2022-05,358.939215,2022-06,391.374643,2022-07,208.59394,2022-08,345.917201,2022-09,673.747807,2022-10,473.686752,2022-11,390.073011
46,M,AL,TXG_FOB_USD,W00,6,P1M,2022-01,326.183468,2022-02,348.448921,2022-03,427.63045,2022-04,376.477491,2022-05,394.347202,2022-06,406.792864,2022-07,342.273648,2022-08,304.73707,2022-09,326.492234,2022-10,320.400813,2022-11,365.700584
47,M,ID,TXG_FOB_USD,W00,6,P1M,2022-01,19173.69779,2022-02,20472.894282,2022-03,26497.477155,2022-04,27322.14067,2022-05,21511.452558,2022-06,26150.648993,2022-07,25563.290971,2022-08,27862.428177,2022-09,24778.017561,2022-10,24728.14814,2022-11,24115.185011
48,M,CM,TXG_FOB_USD,W00,6,P1M,2022-01,522.932915,2022-02,373.318896,2022-03,659.888796,2022-04,521.669291,2022-05,534.479261,2022-06,625.295719,2022-07,538.199342,2022-08,587.891376,2022-09,569.571346,2022-10,484.404091,2022-11,455.081773
49,M,CI,TXG_FOB_USD,W00,6,P1M,2022-01,1404.19334,2022-02,1455.187924,2022-03,2288.859978,2022-04,1873.871911,2022-05,2010.661993,2022-06,2488.743838,2022-07,1333.971544,2022-08,2006.172051,2022-09,1593.588369,2022-10,1336.349344,2022-11,1183.933859
50,M,BF,TXG_FOB_USD,W00,6,P1M,2022-01,243.512306,2022-02,153.614088,2022-03,84.174249,2022-04,173.035627,2022-05,120.921438,2022-06,284.110453,2022-07,152.809728,2022-08,104.036301,2022-09,65.757468,2022-10,36.011901,2022-11,17.647249
51,M,KH,TXG_FOB_USD,W00,6,P1M,2022-01,1619.509032,2022-02,1611.675416,2022-03,2068.436177,2022-04,1903.5825,2022-05,1918.312643,2022-06,1816.824069,2022-07,1937.12957,2022-08,2334.797034,2022-09,2282.307099,2022-10,2049.536037,2022-11,1882.608746
52,M,BG,TXG_FOB_USD,W00,6,P1M,2022-01,3672.362452,2022-02,3940.622989,2022-03,4615.898678,2022-04,4301.223184,2022-05,4601.417487,2022-06,4787.802014,2022-07,4351.848273,2022-08,4143.324224,2022-09,4002.922175,2022-10,4148.376194,2022-11,4338.170354
53,M,LT,TXG_FOB_USD,W00,6,P1M,2022-01,3509.437844,2022-02,3332.428446,2022-03,4058.92899,2022-04,3761.235541,2022-05,3654.678655,2022-06,3477.74831,2022-07,3795.556309,2022-08,4277.08664,2022-09,4304.452414,2022-10,4101.345892,2022-11,4438.69309
54,M,HT,TXG_FOB_USD,W00,6,P1M,2022-01,76.865178,2022-02,90.103134,2022-03,108.648342,2022-04,142.547683,2022-05,110.986234,2022-06,118.006337,2022-07,115.083012,2022-08,128.963824,2022-09,87.999497,2022-10,49.415428,2022-11,51.220975
55,M,W00,TXG_FOB_USD,W00,6,P1M,2022-01,1944704.460379,2022-02,1874603.71545,2022-03,2217902.181486,2022-04,2069779.713183,2022-05,2147184.601646,2022-06,2225498.890437,2022-07,2121246.186287,2022-08,2112362.772372,2022-09,2168005.896718,2022-10,2058329.094904,2022-11,2032350.57379
56,M,CY,TXG_FOB_USD,W00,6,P1M,2022-01,248.494349,2022-02,333.68001,2022-03,350.324165,2022-04,294.877028,2022-05,453.008345,2022-06,306.126156,2022-07,427.460873,2022-08,267.402898,2022-09,277.722508,2022-10,403.976273,2022-11,443.088399
57,M,VU,TXG_FOB_USD,W00,6,P1M,2022-01,5.837059,2022-02,5.649052,2022-03,8.842357,2022-04,5.153018,2022-05,9.046186,2022-06,7.177462,2022-07,7.432019,2022-08,4.936878,2022-09,5.669013,2022-10,5.572487,2022-11,7.195845
58,M,BO,TXG_FOB_USD,W00,6,P1M,2022-01,914.759156,2022-02,941.153884,2022-03,1171.416993,2022-04,1243.257595,2022-05,1292.468747,2022-06,1270.011058,2022-07,1346.10735,2022-08,1056.102475,2022-09,1062.01515,2022-10,939.145336,2022-11,917.287168
59,M,MR,TXG_FOB_USD,W00,6,P1M,2022-01,613.264694,2022-02,391.626134,2022-03,629.070858,2022-04,275.528855,2022-05,287.890921,2022-06,294.098232,2022-07,158.391791,2022-08,358.501245,2022-09,308.845582,2022-10,256.29076,2022-11,241.488627
60,M,CS,TXG_FOB_USD,W00,6,P1M,,,,,,,,,,,,,,,,,,,,,,
61,M,AW,TXG_FOB_USD,W00,6,P1M,2022-01,4.86512,2022-02,7.971524,2022-03,8.345596,2022-04,7.68789,2022-05,10.694143,2022-06,9.07886,2022-07,7.861483,2022-08,8.31999,2022-09,10.607447,2022-10,8.241502,2022-11,12.673838
62,M,SE,TXG_FOB_USD,W00,6,P1M,2022-01,15415.014925,2022-02,16240.911193,2022-03,19153.589922,2022-04,16331.901475,2022-05,17315.302687,2022-06,18079.0036,2022-07,14714.252958,2022-08,14442.921848,2022-09,16537.217185,2022-10,15832.119232,2022-11,16161.069384
63,M,HU,TXG_FOB_USD,W00,6,P1M,2022-01,12165.143153,2022-02,13120.183439,2022-03,13521.963631,2022-04,12097.195402,2022-05,12980.879959,2022-06,12996.796702,2022-07,11082.361123,2022-08,11717.129171,2022-09,13683.765949,2022-10,12406.321565,2022-11,10324.106682
64,M,ET,TXG_FOB_USD,W00,6,P1M,2022-01,307.665416,2022-02,276.582179,2022-03,347.334717,2022-04,286.968444,2022-05,337.978971,2022-06,330.301957,2022-07,345.049267,2022-08,366.664969,2022-09,348.328671,2022-10,316.46171,2022-11,276.325386
65,M,1C_473,TXG_FOB_USD,W00,6,P1M,,,,,,,,,,,,,,,,,,,,,,
66,M,ZM,TXG_FOB_USD,W00,6,P1M,2022-01,965.407906,2022-02,2051.424367,2022-03,1806.029046,2022-04,893.792179,2022-05,1382.550611,2022-06,3435.808179,2022-07,794.134422,2022-08,732.817174,2022-09,847.818879,2022-10,769.941964,2022-11,1646.779177
67,M,DM,TXG_FOB_USD,W00,6,P1M,2022-01,2.468852,2022-02,1.924062,2022-03,3.834729,2022-04,2.012872,2022-05,2.014132,2022-06,2.536253,2022-07,1.881671,2022-08,3.952942,2022-09,3.703195,2022-10,3.027941,2022-11,2.989419
68,M,PY,TXG_FOB_USD,W00,6,P1M,2022-01,484.176035,2022-02,746.402383,2022-03,908.414335,2022-04,912.081316,2022-05,933.86699,2022-06,946.810392,2022-07,935.869195,2022-08,922.937528,2022-09,905.62479,2022-10,737.562545,2022-11,754.316327
69,M,AN,TXG_FOB_USD,W00,6,P1M,,,,,,,,,,,,,,,,,,,,,,
70,M,PK,TXG_FOB_USD,W00,6,P1M,2022-01,2618.361661,2022-02,2840.871831,2022-03,2779.555846,2022-04,2899.101066,2022-05,2619.727943,2022-06,2195.590504,2022-07,2231.258171,2022-08,2143.112483,2022-09,1986.747705,2022-10,1963.120347,2022-11,2036.365835
71,M,LK,TXG_FOB_USD,W00,6,P1M,2022-01,1382.102675,2022-02,1312.399604,2022-03,1533.495785,2022-04,1442.09578,2022-05,1386.85143,2022-06,1428.802975,2022-07,1316.023274,2022-08,1887.702883,2022-09,1547.553711,2022-10,1456.299587,2022-11,1251.731634
72,M,F97,TXG_FOB_USD,W00,6,P1M,2022-01,102424.78503,2022-02,104335.388176,2022-03,136237.399181,2022-04,133474.484968,2022-05,132580.177521,2022-06,134225.878252,2022-07,135432.955129,2022-08,129665.48314,2022-09,128110.429194,2022-10,120848.269515,2022-11,119640.241911
73,M,MX,TXG_FOB_USD,W00,6,P1M,2022-01,33907.182,2022-02,46237.641,2022-03,51906.049,2022-04,47479.188,2022-05,50004.532,2022-06,51233.789,2022-07,46504.348,2022-08,50669.296,2022-09,52337.792,2022-10,49274.887,2022-11,49310.867
74,M,TG,TXG_FOB_USD,W00,6,P1M,2022-01,65.672557,2022-02,152.376612,2022-03,174.950304,2022-04,191.809908,2022-05,222.311229,2022-06,337.688514,2022-07,266.120034,2022-08,206.04469,2022-09,215.808182,2022-10,183.944728,2022-11,149.785827
75,M,GA,TXG_FOB_USD,W00,6,P1M,2022-01,492.725662,2022-02,463.084099,2022-03,785.433149,2022-04,844.483725,2022-05,781.256415,2022-06,325.62224,2022-07,1070.849494,2022-08,698.354052,2022-09,515.178151,2022-10,383.062077,2022-11,552.765969
76,M,BD,TXG_FOB_USD,W00,6,P1M,2022-01,3674.965159,2022-02,3510.414651,2022-03,4154.271754,2022-04,3744.347088,2022-05,3839.120484,2022-06,4402.797068,2022-07,3708.471024,2022-08,4362.81014,2022-09,4110.590697,2022-10,3881.860964,2022-11,3671.514399
