date,reporter,partner,value,code,desc
2020-01-01,USA,World,118251879,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-01-01,USA,Albania,11515,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-01-01,USA,Argentina,20710,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-01-01,USA,Belgium,533183,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-01-01,USA,Brazil,75736,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-01-01,USA,Bulgaria,16907,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-01-01,USA,Canada,3321728,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-01-01,USA,China,3380182,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-01-01,USA,Czechia,2424,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-01-01,USA,Denmark,64050,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-01-01,USA,Dominican Rep.,33820,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-01-01,USA,Finland,4082,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-01-01,USA,France,335600,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-01-01,USA,Germany,8794,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-01-01,USA,Indonesia,33832,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-01-01,USA,Israel,5109,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-01-01,USA,Italy,695623,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-01-01,USA,Japan,24395,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-01-01,USA,Mexico,1246474,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-01-01,USA,Netherlands,21959,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-01-01,USA,Pakistan,25600,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-01-01,USA,Peru,73708,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-01-01,USA,Portugal,447496,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-01-01,USA,Serbia,2750,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-01-01,USA,India,20512660,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-01-01,USA,Viet Nam,497486,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-01-01,USA,Spain,587427,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-01-01,USA,TÃ¼rkiye,86178356,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-01-01,USA,Egypt,35752,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-01-01,USA,United Kingdom,54521,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
